frame_id,target_id,class_name,x1,y1,x2,y2,bbox_height_px,depth_score,distance_m
37,359,car,850.54,468.49,904.45,515.96,47.47,0.1617,35.07
37,360,car,969.38,465.84,1018.4,518.67,52.83,0.191,27.4
37,361,car,716.86,466.23,759.66,502.63,36.4,0.1265,25.94
37,362,car,957.11,466.62,1004.07,515.83,49.21,0.185,25.6
37,363,car,915.99,468.47,962.56,506.3,37.83,0.1646,28.53
37,364,car,930.07,469.38,966.15,507.58,38.2,0.1695,27.92
37,365,car,768.86,468.58,796.0,492.49,23.91,0.1184,36.4
37,366,car,819.48,473.02,851.23,496.98,23.96,0.132,42.4
38,367,car,336.55,491.65,615.36,676.4,184.74,0.4962,34.27
38,368,car,1086.15,481.67,1246.07,573.83,92.15,0.2857,22.07
38,369,car,0.45,482.98,182.09,665.18,182.2,0.5523,7.82
38,370,car,1294.35,466.48,1599.25,686.21,219.73,0.5567,7.49
38,371,car,658.2,484.52,714.68,515.76,31.24,0.1385,15.82
38,372,car,1034.39,469.94,1107.19,547.23,77.28,0.2176,18.82
38,373,car,850.21,475.99,905.2,519.74,43.75,0.1425,26.07
38,374,car,720.87,472.07,768.81,506.35,34.27,0.1204,25.03
38,375,car,936.25,477.71,969.95,514.38,36.68,0.1449,30.65
38,376,car,990.66,474.0,1041.39,534.61,60.61,0.1888,28.12
38,377,car,977.28,470.99,1041.59,524.53,53.54,0.1751,23.94
38,378,car,692.62,482.78,723.79,513.27,30.5,0.1319,26.11
38,379,car,914.17,477.45,957.93,509.74,32.29,0.1357,31.79
38,380,car,301.13,477.03,457.57,586.44,109.41,0.359,27.98
38,381,car,954.65,476.88,986.12,519.45,42.57,0.1568,24.32
38,382,car,971.08,471.48,1022.19,521.96,50.48,0.1676,19.95
39,383,car,0.43,516.76,318.9,887.51,370.75,0.8459,17.47
39,384,car,1135.75,467.53,1353.06,576.89,109.37,0.3093,11.82
39,385,car,1058.29,452.46,1183.19,549.91,97.45,0.2407,8.08
39,386,car,1513.48,524.01,1599.63,703.19,179.18,0.5689,9.15
